Assignee,Closed,Opened,Opener,Spendtime,Summary,Type
,2014/09/29 01:30:51,2014/09/29 00:59:10,WangTaoTheTonic,1901,[Docs]Minor typo,Improvement
lian cheng,2014/10/09 00:05:08,2014/09/28 12:33:18,lian cheng,41510,Use JSON to serialize DataType,Improvement
,2014/12/12 00:50:56,2014/09/28 10:55:10,uncleGen,50146,add a new UpdateDStream to update a rdd dynamically,Improvement
,2014/10/09 20:09:51,2014/09/28 05:53:24,saucam,51387,Optimize where in clause filter queries,Improvement
vanzin,2014/10/06 21:15:36,2014/09/27 22:23:31,pwendell,82325,YARN integration test is flaky,Bug
rxin,2014/10/22 22:24:29,2014/09/27 22:02:27,pwendell,1322,Executors don't always report broadcast block removal properly back to the driver,Bug
ravi.pesala,2014/11/26 04:01:12,2014/09/27 18:25:12,marmbrus,34560,Backticks aren't handled correctly in aliases,Bug
,2014/10/09 01:06:43,2014/09/27 14:26:58,chenghao,38385,Type Coercion for DIV doesn't work for non-numeric argument,Bug
,2014/10/03 17:06:17,2014/09/27 03:38:40,cocoatomo,48457,"Cannot run IPython REPL with IPYTHON set to ""1"" and PYSPARK_PYTHON unset",Bug
,2014/10/01 22:55:37,2014/09/27 01:13:53,scwf,78104,add case for VoidObjectInspector in inspectorToDataType,Bug
,2014/11/27 03:30:40,2014/09/27 00:30:02,scwf,10838,Short (TINYINT) incorrectly handled in thrift JDBC/ODBC server,Bug
mengxr,2014/10/01 00:10:54,2014/09/26 20:29:35,mengxr,13279,Some clean-up work after the refactoring of MLlib's SerDe for PySpark,Bug
willbenton,2014/09/28 08:01:45,2014/09/26 18:47:23,willbenton,47662,sbt console tasks don't clean up SparkContext,Bug
marmbrus,2014/12/17 20:45:49,2014/09/26 12:19:21,cloud_fan,30388,Case sensitive check in spark sql is incompleted.,Bug
,2014/12/20 02:45:48,2014/09/26 10:20:16,397090770,59132, HistoryServer cann't list event Log when there was a no permissions directory in the $spark.eventLog.dir,Bug
WangTaoTheTonic,2014/10/03 17:49:31,2014/09/26 05:59:20,WangTaoTheTonic,42611,Do not override user-defined conf_dir in spark-config.sh,Improvement
adrian-wang,2014/09/26 18:27:36,2014/09/26 02:49:32,adrian-wang,56284,Enable to show host and port in block fetch failure,Bug
ilganeli,2015/01/31 06:43:19,2014/09/25 22:21:21,pwendell,30118,Allow printing object graph of tasks/RDD's with a debug flag,Improvement
,2014/09/25 21:14:53,2014/09/25 20:53:31,xuefuz,1282,Cached Hadoop RDD always return rows with the same value,Bug
,2015/02/27 22:34:14,2014/09/25 18:14:19,xuefuz,15595,Provide a mini cluster for testing system built on Spark,Test
,2014/09/25 21:50:35,2014/09/25 14:41:57,epakhomov,25718,Closing shuffle writers we swallow more important exception,Bug
,2014/12/12 00:51:49,2014/09/25 12:24:54,sarutak,44815,FileLogger should create new instance of FileSystem regardless of it's scheme,Bug
tianyi,2015/02/11 23:27:08,2014/09/25 07:27:19,tianyi,57589,LogicalPlan can't resolve column correctlly,Bug
,2015/02/26 09:16:21,2014/09/25 04:36:41,taqilabon,16780,Spark hang while processing more than 100 sequence files,Bug
hshreedharan,2014/12/19 16:13:39,2014/09/25 00:48:04,pwendell,55535,flume.SparkSinkSuite.Success is flaky,Bug
davies,2014/10/29 10:50:15,2014/09/24 23:42:45,jamborta,40050,"PySpark Hive query generates ""NULL"" instead of None",Bug
davies,2014/09/27 19:21:52,2014/09/24 21:12:32,davies,79760,Failed to serialized ArrayType or MapType  after accessing them in Python,Bug
marmbrus,2014/09/27 19:10:32,2014/09/24 18:53:42,marmbrus,1010,java.lang.Exception: makeCopy when using HiveGeneric UDFs on Converted Parquet Metastore tables,Bug
davies,2014/09/24 20:00:31,2014/09/24 18:28:32,davies,5519,pickle the exact globals of functions,Bug
,2015/03/01 11:15:42,2014/09/24 15:05:08,tgraves,72634,Yarn app name reported in RM is different between cluster and client mode,Bug
,2014/12/11 17:00:52,2014/09/24 10:13:45,sarutak,24427,pom.xml and SparkBuild.scala are wrong : Scalastyle is never applyed to the sources under yarn/common,Bug
,2014/09/27 19:08:54,2014/09/24 07:00:03,scwf,43731,jdk version lead to spark sql test suite error,Bug
marmbrus,2015/02/28 00:58:24,2014/09/24 06:19:01,marmbrus,67163,Allow starting JDBC server on an existing context,Improvement
ankurd,2015/01/30 07:29:18,2014/09/24 00:28:45,ankurd,25233,Move IndexedRDD from a pull request into a separate repository,Sub-task
ankurd,2014/11/12 22:16:18,2014/09/23 23:56:57,ankurd,80361,Deprecate Graph#unpersistVertices and document how to correctly unpersist graphs,Improvement
ankurd,2014/11/12 21:50:30,2014/09/23 23:55:27,ankurd,78903,Extract interfaces for EdgeRDD and VertexRDD,Improvement
ankurd,2015/02/27 04:11:49,2014/09/23 23:52:43,ankurd,15546,Graduate GraphX from alpha to stable,Improvement
aash,2014/12/12 00:53:59,2014/09/23 22:56:53,aash,7026,Document SPARK_LOG_DIR and SPARK_PID_DIR,Documentation
,2014/11/12 04:53:44,2014/09/23 22:55:47,esamanas,21477,Importing pandas breaks included pi.py example,Bug
andrewor14,2014/10/30 23:11:09,2014/09/23 21:52:30,andrewor14,4719,spark.*.memory is ignored in cluster mode,Bug
,2014/11/12 20:26:52,2014/09/23 20:16:42,soumitra,610,Initial RDD for updateStateByKey transformation,New Feature
shivaram,2014/09/24 18:35:21,2014/09/23 18:52:36,shivaram,85365,Set EC2 version to 1.1.0 in master branch,Bug
,2014/10/01 22:15:44,2014/09/23 16:47:41,WangTaoTheTonic,19683,Take thrift server as a daemon,Improvement
sarutak,2014/10/28 19:42:06,2014/09/23 16:19:33,tgraves,12153,yarn alpha YarnRMClientImpl throws NPE appMasterRequest.setTrackingUrl starting spark-shell,Bug
,2014/11/20 07:31:27,2014/09/23 07:46:47,397090770,85480,IllegalArgumentException when I using sort-based shuffle,Bug
ravi.pesala,2014/10/13 19:11:03,2014/09/23 02:12:31,lian cheng,61112,Implement all extended HiveQL statements/commands with a separate parser combinator,Bug
andrewor14,2014/09/23 21:51:41,2014/09/23 01:02:07,andrewor14,74974,SPARK_{DRIVER|EXECUTOR}_MEMORY is ignored in cluster mode,Improvement
,2014/10/31 23:08:14,2014/09/23 00:26:31,scwf,81703,upgrade spark sql hive version to 0.13.1,Dependency upgrade
tigerquoll,2014/09/28 05:11:42,2014/09/22 23:50:12,andrewor14,19290,Consolidate executor maps in CoarseGrainedSchedulerBackend,Improvement
ankurd,2014/11/11 03:32:24,2014/09/22 21:51:54,ankurd,20430,ClassCastException in GraphX custom serializers when sort-based shuffle spills,Bug
pwendell,2014/11/09 23:34:10,2014/09/22 21:47:29,pwendell,6401,Provide a script for fetching remote PR's for review,New Feature
vanzin,2014/11/11 08:11:51,2014/09/22 20:50:24,vanzin,40887,Shaded Guava patch causes access issues with package private classes,Bug
marmbrus,2014/09/23 19:27:45,2014/09/22 19:40:46,marmbrus,85619,Copy SQL options from the spark context,Improvement
lian cheng,2014/10/06 00:54:01,2014/09/22 19:06:25,marmbrus,20856,"Make caching using SQL commands eager by default, with the option of being lazy",Bug
,2015/03/14 00:14:19,2014/09/22 18:24:56,matei,20963,Add cluster-specific config settings to configuration page,Documentation
sandyr,2015/03/11 13:22:47,2014/09/22 16:44:41,sandyr,74286,Better document the nuances of shared variables,Improvement
marmbrus,2014/12/02 20:16:41,2014/09/22 15:57:37,yhuai,15544,Correctly populate SparkPlan.currentContext,Bug
,2015/03/01 18:12:05,2014/09/22 11:22:11,aniket,24594,KinesisUtils should accept a credentials object instead of forcing DefaultCredentialsProvider,Improvement
aniket,2014/11/04 18:28:27,2014/09/22 11:06:50,aniket,26497,Kinesis examples set master as local,Bug
,2015/02/16 09:43:43,2014/09/22 11:00:43,aniket,81780,Commons HTTP client dependency conflict in extras/kinesis-asl module,Bug
,2015/02/17 22:15:17,2014/09/22 10:09:07,rtshadow,43570,NPE in ShuffleMapTask,Bug
,2014/12/12 01:13:07,2014/09/22 09:41:50,uncleGen,55877,It is not friendly to interrupt a Job when user passes different storageLevels to a RDD,Improvement
,2014/11/26 04:22:08,2014/09/22 07:50:33,odedz,73895,Find Strongly Connected Components with Graphx has a small bug,Bug
,2014/09/24 19:10:34,2014/09/22 04:58:56,joshrosen,51098,Python modules added through addPyFile should take precedence over system modules,Improvement
,2015/01/04 19:41:24,2014/09/22 03:29:52,nravi,58292,Fetches failure observed after SPARK-2711,Bug
tgraves,2015/03/25 19:22:45,2014/09/22 03:12:55,tgraves,58190,ConnectionManager can run out of receive threads with authentication on,Bug
CodingCat,2015/03/25 16:33:25,2014/09/21 22:38:36,matei,64489,Don't apply accumulator updates multiple times for tasks in result stages,Bug
tgraves,2015/02/07 23:13:28,2014/09/21 21:16:51,tgraves,6997,spark on yarn reports success even though job fails,Bug
joshrosen,2014/10/10 21:40:35,2014/09/21 19:12:43,joshrosen,8872,Replace AsyncRDDActions with a more general async. API,Improvement
gq,2014/12/06 01:46:17,2014/09/21 14:52:32,gq,39225,"In some cases, the RDD.checkpoint does not work",Improvement
,2015/02/11 08:43:30,2014/09/21 09:53:15,tzolov,82215,"""Failed to find Spark assembly in /usr/share/spark/lib"" for RELEASED debian packages",Bug
gq,2014/12/06 08:58:26,2014/09/21 08:13:54,gq,2672,Graph should support the checkpoint operation,Improvement
,2015/02/02 19:09:33,2014/09/21 05:38:17,xuefuz,48676,Provide a custom transformation that can output multiple RDDs,Improvement
,2015/03/14 19:07:35,2014/09/21 05:27:01,xuefuz,49234,Provide a way to broadcast an RDD (instead of just a variable made of the RDD) so that a job can access,Improvement
jongyoul,2015/03/16 02:38:16,2014/09/20 23:48:08,matei,10208,Upgrade to Mesos 0.21 to work around MESOS-1688,Improvement
marmbrus,2014/11/03 22:27:38,2014/09/20 23:36:29,marmbrus,82269,Store analyzed plans for temp tables,Bug
joshrosen,2014/10/26 18:29:48,2014/09/20 23:11:11,joshrosen,69517,Add Selenium tests to Web UI,Improvement
jerryshao,2014/11/24 20:36:17,2014/09/20 22:57:07,pwendell,77950,Kafka test should not hard code Zookeeper port,Bug
rnowling,2014/09/26 16:59:15,2014/09/20 15:38:06,jatinpreet,4869,Filter on minimum occurrences of a term in IDF ,Improvement
rxin,2014/12/25 15:21:10,2014/09/20 06:53:27,rxin,30463,Don't record the size of each shuffle block for large jobs,Improvement
sandyr,2015/02/26 00:00:20,2014/09/20 06:51:07,rxin,61753,Executor shouldn't quit if heartbeat message fails to reach the driver,Bug
sarutak,2014/11/20 07:25:29,2014/09/19 23:16:45,SK,29324,History server log name should not be based on user input,Bug
lian cheng,2014/09/20 23:31:08,2014/09/19 22:51:49,lian cheng,2359,Add sizeInBytes statistics to Limit operator,Bug
vidaha,2014/09/20 08:26:16,2014/09/19 22:17:28,vidaha,36528,Spark EC2 Script does not correctly break when AWS tagging succeeds.,Bug
ilganeli,2015/01/23 10:48:11,2014/09/19 22:08:35,tgraves,45576,ConnectionManager threads.max configs on the thread pools don't work,Bug
vanzin,2014/10/17 07:53:45,2014/09/19 21:14:53,vanzin,38332,Spark-on-Yarn AmIpFilter does not work with Yarn HA.,Bug
,2014/09/19 22:35:02,2014/09/19 18:16:06,sandyr,15536,Typo in SchemaRDD JavaDoc,Bug
,2014/09/25 00:11:33,2014/09/19 15:09:29,ericdf,32524,unbounded recursion in getNumPartitions triggers stack overflow for large UnionRDD,Bug
WangTaoTheTonic,2014/09/21 02:08:27,2014/09/19 02:54:09,WangTaoTheTonic,83658,Avoid loading and printing properties file content frequently,Improvement
adrian-wang,2014/10/13 07:53:47,2014/09/19 02:46:58,adrian-wang,18409,cast to timestamp should be the same as hive,Bug
brenden,2014/10/05 16:50:42,2014/09/19 02:02:36,brenden,53286,MesosSchedulerBackend does not implement `killTask`,Bug
themodernlife,2015/03/16 09:02:15,2014/09/18 20:30:49,themodernlife,45086,Spark should respect configured OutputCommitter when using saveAsHadoopFile,Improvement
davies,2014/11/03 21:18:07,2014/09/18 17:35:05,davies,13382,try more rows during inferSchema,Improvement
gvramana,2014/11/05 08:13:45,2014/09/18 17:34:53,pmagid,52732,Support Sorting of Binary Type Data,New Feature
davies,2014/09/19 22:33:58,2014/09/18 17:33:15,davies,18043,applySchema to an RDD of Row,Bug
joshrosen,2014/10/26 19:07:17,2014/09/18 16:53:31,vanzin,8026,Expose async APIs in the Java API,New Feature
WangTaoTheTonic,2014/09/18 19:09:06,2014/09/18 11:29:32,WangTaoTheTonic,27574,[Minor]Remove redundant code in deploy module,Improvement
MeethuMathew,2014/12/30 18:58:27,2014/09/18 10:47:19,MeethuMathew,29468,Gaussian Mixture Model clustering,New Feature
,2015/02/09 05:56:58,2014/09/18 10:05:30,caoli,71488,Spark SQL can't support lead() over() window function,Bug
,2014/09/19 06:46:58,2014/09/18 09:45:36,tamilselvanvlr@hotmail.com,75682,Probability Values in Logistic Regression/Decision Tree output ,Question
sarutak,2014/09/25 23:49:57,2014/09/18 09:15:50,sarutak,52447,sbin/slaves doesn't work when we use password authentication for SSH,Bug
,2014/09/19 17:42:32,2014/09/18 07:01:38,ShiShu,38454,Spark run slow after unexpected repartition,Bug
adrian-wang,2014/09/29 09:01:15,2014/09/18 05:55:51,Saurabh Santhosh,11124,Spark SQL having issue with existing Hive UDFs which take Map as a parameter,Bug
,2014/09/19 03:00:25,2014/09/18 05:55:50,guoxu1231,75875,RDD API(distinct/subtract) does not work for RDD of Dictionaries,Bug
pwendell,2014/09/18 17:30:46,2014/09/17 23:54:03,pwendell,63403,Jekyll doc generation is different across environments,Bug
ankurd,2014/09/22 20:52:03,2014/09/17 23:11:00,ankurd,78063,GraphGenerators.sampleLogNormal sometimes returns too-large result,Bug
pwendell,2014/09/25 06:31:23,2014/09/17 22:53:26,pwendell,27477,Provide script for creating the Spark AMI from scratch,Bug
lian cheng,2015/02/05 23:30:52,2014/09/17 22:40:01,marmbrus,3051,Hive Schema is ignored when using convertMetastoreParquet,Bug
sandyr,2014/09/20 23:03:46,2014/09/17 20:20:14,kayousterhout,9812,Shuffle finish time always reported as -1,Bug
mengxr,2014/11/04 06:32:28,2014/09/17 20:14:36,mengxr,37072,Dataset,Sub-task
josephkb,2014/11/14 18:26:55,2014/09/17 20:13:05,mengxr,80030,Internal API for User-Defined Types,New Feature
sarutak,2014/09/17 23:24:33,2014/09/17 20:05:23,sarutak,11950,Spark standalone cluster mode doesn't work.,Bug
kayousterhout,2015/03/24 23:29:45,2014/09/17 19:57:24,kayousterhout,12741,Shuffle write time does not include time to open shuffle files,Bug
mengxr,2014/11/01 21:37:20,2014/09/17 19:43:28,mengxr,6832,Add metadata field to StructField,New Feature
coderxiang,2014/10/21 22:46:23,2014/09/17 18:15:57,coderxiang,16226,Add metrics for ranking algorithms,New Feature
sarutak,2014/09/29 06:38:59,2014/09/17 10:24:39,sarutak,72860,appId field in SparkDeploySchedulerBackend should be volatile,Bug
sarutak,2014/09/18 19:05:19,2014/09/17 08:26:37,sarutak,38322,.gitignore and .rat-excludes should consider Windows cmd file and Emacs' backup files,Improvement
WangTaoTheTonic,2014/09/18 05:00:20,2014/09/17 08:22:33,WangTaoTheTonic,74267,make code consistent with document,Bug
sarutak,2014/09/17 23:32:56,2014/09/17 08:08:12,sarutak,55484,Display App ID on HistoryPage,Improvement
,2015/02/26 00:50:08,2014/09/17 06:59:27,shenhong,64241,Shuffle data not always be cleaned,Bug
xukun,2015/02/26 21:24:30,2014/09/17 06:35:06,xukun,53364,Periodic cleanup event logs,New Feature
mshen,2014/09/18 23:08:34,2014/09/17 00:38:57,sandyr,80977,"In yarn-cluster mode, the same jars are distributed through multiple mechanisms.",Bug
gvramana,2014/10/13 20:45:44,2014/09/16 23:21:12,yhuai,77072,appendReadColumnIDs and appendReadColumnNames introduce unnecessary columns in the lists of needed column ids and column names stored in hiveConf,Bug
,2015/03/02 04:16:12,2014/09/16 22:48:27,joshrosen,19665,Throw exception for concurrently-running SparkContexts / StreamingContexts in the same JVM,Improvement
,2014/09/18 14:26:32,2014/09/16 22:25:19,andrewor14,57673,Yarn client config prioritization is backwards,Bug
joshrosen,2014/12/13 22:38:47,2014/09/16 21:58:56,joshrosen,2391,Monitoring and debugging improvements (Spark 1.2),Epic
andrewor14,2014/09/16 23:04:06,2014/09/16 21:27:42,pwendell,5784,UI port contention suite flakey,Bug
davies,2014/09/19 01:12:01,2014/09/16 20:45:09,davies,16012,handle large dataset in closure of PySpark,Improvement
,2014/12/19 21:30:19,2014/09/16 20:06:35,lian cheng,5024,Thrift server doesn't reset current database for each connection,Bug
,2015/03/03 00:04:50,2014/09/16 16:17:45,sarutak,28025,Remove redundant putting FetchResult which means Fetch Fail when Remote fetching,Improvement
,2014/09/25 21:36:32,2014/09/16 15:30:25,staple,21967,Disable automatic rdd caching in python api for relevant learners,Improvement
,2014/12/12 00:43:55,2014/09/16 15:03:13,sarutak,34842,Display cache hit ratio on WebUI,Improvement
WangTaoTheTonic,2014/09/18 17:18:17,2014/09/16 13:04:29,WangTaoTheTonic,15228,Maybe we should not simply make return code 1 equal to CLASS_NOT_FOUND,Improvement
sarutak,2014/11/26 11:38:12,2014/09/16 12:19:16,sarutak,83936,InputStream of ManagedBuffer is not closed and causes running out of file descriptor,Bug
,2015/02/19 21:43:12,2014/09/16 09:28:57,yantangzhai,44055,Put HadoopRDD.getPartitions forward and put TaskScheduler.start back in SparkContext to reduce DAGScheduler.JobSubmitted processing time and shorten cluster resources occupation period,Improvement
prashant_,2015/02/03 06:17:20,2014/09/16 04:49:41,pwendell,5259,Write TaskContext in Java and expose it through a static accessor,Bug
mengxr,2015/01/23 06:09:38,2014/09/16 02:37:00,mengxr,12758,Improve ALS internal storage,Improvement
rxin,2014/09/16 04:12:03,2014/09/16 02:24:26,rxin,6457,Add reboot-slaves functionality to the ec2 script,New Feature
,2015/02/26 00:44:31,2014/09/15 23:35:54,jsalvatier,4117,"Task description ""apply at Option.scala:120""; no user code involved",Bug
lian cheng,2014/10/26 23:10:26,2014/09/15 21:38:00,marmbrus,5546,Statistics for cached RDDs,New Feature
ravi.pesala,2014/09/23 18:52:26,2014/09/15 21:35:57,marmbrus,76589,SELECT on empty parquet table throws exception,Bug
brenden,2014/10/03 19:59:34,2014/09/15 21:12:03,brenden,82051,Spark on Mesos not correctly setting heap overhead,Bug
nchammas,2014/09/18 03:55:25,2014/09/15 18:38:43,marmbrus,33402,Avoid running MLlib and Streaming tests when testing SQL PRs,Bug
,2014/09/30 09:06:21,2014/09/15 10:51:32,prashant_,80089,Spark On FreeBSD. Snappy used by torrent broadcast fails to load native libs.,Bug
,2014/09/26 19:05:01,2014/09/15 09:18:56,adrian-wang,35165,select null from table would throw a MatchError,Bug
mengxr,2015/03/03 01:47:58,2014/09/15 08:22:51,mengxr,62707,Pipeline and Parameters,Sub-task
,2014/10/13 20:42:15,2014/09/15 08:17:15,chenghao,44700,Delete the temporal files after test exit,Improvement
chenghao,2014/09/16 18:21:54,2014/09/15 07:48:07,chenghao,38027,Strip the physical plan message margin,Bug
aash,2014/12/10 23:02:20,2014/09/15 07:40:15,aash,55325,Docs section on data locality,Documentation
epakhomov,2014/09/26 19:10:21,2014/09/15 07:15:59,epakhomov,42862,Gradient boosting in MLLib,New Feature
,2014/09/15 08:26:12,2014/09/14 21:20:22,hsn,39950,Missing modules in 1.1.0 source distribution - cant be build with maven,Bug
,2014/09/15 16:07:10,2014/09/14 13:35:19,hsn,9111,java version check in spark-class fails with openjdk,Bug
farrellee,2014/09/16 18:40:10,2014/09/13 16:55:59,nchammas,6251,PySpark RDDs are missing the distinct(n) method,Bug
sarutak,2014/09/15 23:12:32,2014/09/13 08:40:39,sarutak,52313,Remove useless statement in JsonProtocol,Bug
,2014/10/21 23:27:44,2014/09/13 01:52:27,gq,77717,mapPartitions is not correct clearing up the closure,Bug
josephkb,2014/09/16 00:43:47,2014/09/13 01:04:57,josephkb,85130,"DecisionTree Python support for params maxInstancesPerNode, maxInfoGain",Improvement
lian cheng,2014/09/14 03:05:55,2014/09/13 00:17:52,lian cheng,10083,ParquetMetastoreSuite fails when executed together with other suites under Maven,Bug
,2015/02/26 00:55:16,2014/09/12 16:43:09,yongjiaw,29527,yarn-client through socks proxy,Wish
pwendell,2015/02/23 18:10:56,2014/09/12 15:59:55,pwendell,7861,Create a RELEASE-NOTES.txt file in the repo,Bug
,2015/02/26 14:29:22,2014/09/12 13:16:03,tgraves,4399,annotate the Spark configs to indicate which ones are meant for the end user,Improvement
epakhomov,2014/10/09 10:54:12,2014/09/12 12:39:41,epakhomov,80071,Create RegressionLearner trait and make some currect code implement it,New Feature
pwendell,2014/10/13 15:53:37,2014/09/12 11:19:25,jlaskowski,16452,1.1.0-SNAPSHOT in docs for 1.1.0 under docs/latest,Bug
,2015/02/02 23:18:31,2014/09/12 06:15:28,xiliu82,61383,Augmenting SparkStreaming updateStateByKey API with timestamp,Improvement
rxin,2014/11/04 08:40:40,2014/09/12 05:21:33,rxin,11947,Disable thread local cache in PooledByteBufAllocator,Sub-task
rxin,2014/11/04 08:40:36,2014/09/12 05:17:31,rxin,12185,"SO_RCVBUF and SO_SNDBUF should be bootstrap childOption, not option",Sub-task
chenghao,2014/09/19 22:29:57,2014/09/12 05:04:44,chenghao,62713,Hive SimpleUDF will create duplicated type cast which cause exception in constant folding,Bug
davies,2014/09/13 16:56:21,2014/09/12 04:55:27,davies,43254,coalesce() and repartition() of SchemaRDD is broken,Bug
,2015/02/26 00:51:04,2014/09/12 03:09:25,nchammas,78099,Create Spark-based distcp utility,Wish
tdas,2014/09/12 21:23:50,2014/09/12 03:01:28,shenhong,66142,Block always replicated to the same node,Improvement
tdas,2014/11/11 02:37:22,2014/09/12 01:41:57,tdas,3325,Block replication can by mistake choose driver BlockManager as a peer for replication,Bug
tdas,2014/11/11 02:37:10,2014/09/12 01:01:20,tdas,5750,Block replication fails continuously when the replication target node is dead,Bug
josephkb,2014/09/12 08:39:10,2014/09/11 22:40:20,josephkb,35930,DecisionTree overflow error in calculating maxMemoryUsage,Bug
andrewor14,2014/10/07 00:21:15,2014/09/11 19:19:24,andrewor14,18111,Unrolling behavior is too aggressive in dropping blocks,Bug
davies,2014/10/21 01:01:55,2014/09/11 17:30:32,davies,27083,Use pickle to serialize the data in MLlib Python,Improvement
,2014/09/25 21:37:50,2014/09/11 15:59:47,staple,20283,cache deserialized python RDDs before iterative learning,Improvement
,2014/09/11 17:27:19,2014/09/11 14:11:40,sarutak,11739,Remove unused import in ApplicationMaster,Improvement
liquanpei,2014/10/07 23:43:48,2014/09/11 09:55:30,liquanpei,49698,Add PySpark support for Word2Vec,New Feature
adrian-wang,2014/10/13 07:56:56,2014/09/11 09:50:10,adrian-wang,79606,should check parameter type when find constructors,Improvement
,2014/09/11 11:55:27,2014/09/11 08:49:23,waterman,11164,Can updateStateByKey hold only last 10 keys?,Question
ravi.pesala,2014/10/27 14:41:16,2014/09/11 08:38:57,kul,21739,Special chars in column names,Improvement
,2015/02/08 23:48:36,2014/09/11 08:10:48,hsn,56268,"Allow symlinking to scripts (spark-shell, spark-submit, ...)",Bug
chenghao,2014/09/23 06:20:27,2014/09/11 07:02:13,chenghao,83894,"HiveComparisonTest throws exception of ""org.apache.hadoop.hive.ql.metadata.HiveException: Database does not exist: default""",Test
,2014/10/14 11:15:15,2014/09/11 03:06:02,jameszhouyi,29353,Throws out Not a valid command 'yarn-alpha/scalastyle' in dev/scalastyle for sbt build tool during 'Running Scala style checks',Bug
,2014/10/06 21:35:56,2014/09/11 01:00:13,nchammas,74143,Have Jenkins show which category of tests failed in his GitHub messages,Improvement
davies,2014/09/27 04:35:26,2014/09/11 00:56:56,davies,13110,Profile Python tasks stage by stage in worker,New Feature
andrewor14,2015/03/09 22:39:19,2014/09/10 22:43:49,andrewor14,86130,Clean up code in Yarn Client / ClientBase,Sub-task
andrewor14,2014/09/26 18:51:15,2014/09/10 20:13:16,tgraves,81479,Yarn ClientBase.validateArgs memory checks wrong,Bug
,2014/09/10 19:37:08,2014/09/10 17:06:59,tgraves,9009,dev/merge_spark_pr.py fails on mac ,Bug
,2015/03/07 16:43:07,2014/09/10 09:59:02,chunjun.xiao,24245,The env variable SPARK_MASTER_IP does not work,Bug
,2014/09/10 08:20:48,2014/09/10 08:13:41,sarutak,427,Expose task status when converting TaskInfo into JSON representation,Bug
,2014/09/10 07:02:06,2014/09/10 06:58:18,kjsingh,228,Option to take top n elements (unsorted),New Feature
,2015/01/24 12:20:35,2014/09/10 06:52:27,roji,19688,Automatic resource manager for SparkContext in Scala?,New Feature
,2014/09/15 14:34:58,2014/09/10 06:47:45,roji,28033,Have JavaSparkContext implement Closeable/AutoCloseable,New Feature
rxin,2014/09/13 04:55:56,2014/09/10 06:21:14,rxin,81282,All TaskCompletionListeners should be called even if some of them fail,Improvement
davies,2014/10/20 20:48:59,2014/09/10 00:15:45,matei,73994,Python BatchedSerializer should dynamically lower batch size for large objects,Improvement
davies,2014/11/02 07:04:33,2014/09/10 00:12:52,matei,24701,Limit size of results that a driver collects for each action,New Feature
davies,2014/09/12 21:30:00,2014/09/09 21:49:52,davies,85208,Task metrics are not aggregated correctly in local mode,Bug
andrewor14,2014/10/05 21:40:37,2014/09/09 19:13:54,sandyr,8803,Graceful decommission of executors,Bug
davies,2014/09/14 05:31:34,2014/09/09 18:51:36,davies,38398,Show metrics about spilling in Python,Improvement
,2014/09/12 00:50:26,2014/09/09 18:05:33,cody@koeninger.org,24293,parquet pushdown for unionAll,Improvement
andrewor14,2014/10/04 19:04:20,2014/09/09 17:08:22,pwendell,6958,"Under YARN, discard executors that have been idle ",Bug
,2014/09/09 17:28:45,2014/09/09 16:44:32,mengxr,2653,MulticlassMetrics is not serializable,Bug
farrellee,2014/09/10 06:53:04,2014/09/09 15:51:39,farrellee,54085,"enable use of python's ""with"" statements for SparkContext management",New Feature
,2015/03/08 14:17:37,2014/09/09 15:16:45,roji,82852,ConcurrentModificationException starting up pyspark,Bug
tgraves,2014/09/13 01:31:59,2014/09/09 15:06:55,tgraves,37504,YarnAllocator can lose container requests to RM,Bug
,2014/09/13 06:03:45,2014/09/09 11:34:47,chenghao,66538,**HotFix** Unit test failed due to can not resolve the attribute references,Bug
rxin,2014/11/04 08:40:31,2014/09/09 07:30:24,rxin,4207,Refactor Netty module to use BlockTransferService,Sub-task
prashant_,2015/01/20 23:41:31,2014/09/09 06:46:13,pwendell,60918,Maven build should skip publishing artifacts people shouldn't depend on,Bug
,2015/01/12 18:44:36,2014/09/09 03:31:38,whoschek,54778,Enable specifiying the --jars CLI option multiple times,Improvement
lian cheng,2014/09/10 01:40:27,2014/09/09 00:47:29,lian cheng,3178,SpecificMutableRow.update doesn't check for null,Bug
marmbrus,2014/09/18 14:33:35,2014/09/08 23:00:08,marmbrus,56007,Kryo NPE when serializing JListWrapper,Bug
vanzin,2014/10/02 02:25:45,2014/09/08 20:19:44,vanzin,21961,FutureAction should expose the job ID,New Feature
sandyr,2015/01/24 18:15:51,2014/09/08 19:56:02,pwendell,80389,Deprecate and later remove YARN alpha support,Improvement
mengxr,2014/09/09 02:00:09,2014/09/08 19:19:58,mengxr,24011,Update the default values of some decision tree parameters,Improvement
rxin,2014/09/08 19:50:41,2014/09/08 19:15:24,rxin,2117,Create LengthBoundedInputStream,Sub-task
,2015/03/11 08:09:53,2014/09/08 14:57:50,syn,61923,Support for accessing secured HDFS in Standalone Mode,New Feature
,2015/02/24 00:32:59,2014/09/08 08:11:30,liquanpei,58889,Streaming SVM ,New Feature
,2015/02/23 22:24:48,2014/09/08 07:15:51,mengxr,54537,Distributed matrix multiplication,New Feature
prashant_,2015/01/13 00:44:22,2014/09/08 01:49:01,joshrosen,82521,Mima false-positives with @DeveloperAPI and @Experimental annotations,Bug
rxin,2014/12/22 06:02:46,2014/09/08 00:27:04,nchammas,20142,Fix logging of unit test execution time,Sub-task
